title,company,city,province,country,posting_time,skills
Microwave Engineer,People (Professional Employers Pvt Ltd),Islamabad,Islāmābād,Pakistan,3/14/2024,[]
MW Engineer,People (Professional Employers Pvt Ltd),Islamabad,Islāmābād,Pakistan,3/14/2024,[]
Reliability & Maintenance Engineer,FrieslandCampina,Sukkur,Sindh,Pakistan,5/8/2024,[]
Mechanical Design Engineer,Seegapak (Pvt.) Ltd.,Wah,Punjab,Pakistan,5/8/2024,['autocad']
Wireless Integration Engineer,People (Professional Employers Pvt Ltd),Islamabad,Islāmābād,Pakistan,4/8/2024,[]
Customer Engineer Power (Karachi),Vertiv,Karāchi,Sindh,Pakistan,4/23/2024,[]
Process Quality Engineer,Inovi Telecom Private Limited,Karāchi,Sindh,Pakistan,5/10/2024,[]
Rollout Project RF Engineer - Rollout project for 2/3G RF RNO L2(Senior),People (Professional Employers Pvt Ltd),Islamabad,Islāmābād,Pakistan,4/4/2024,[]
Lead E&I Engineer,INTECH Automation & Intelligence,Lahore,Punjab,Pakistan,6/8/2023,[]
Biomedical Engineer,South Punjab Hospital,Multan,Punjab,Pakistan,2/21/2024,[]
Process Engineer,Avery Dennison,Karāchi,Sindh,Pakistan,5/7/2024,[]
Rollout Project RF Engineer - Rollout project for 4/5G RF RNO L2(Senior),People (Professional Employers Pvt Ltd),Islamabad,Islāmābād,Pakistan,4/8/2024,[]
Lead E& I Engineer,Avanceon Middle East & South Asia,Lahore,Punjab,Pakistan,5/6/2024,[]
Business Developer Intern Electrical Engineering,POWERAMA Solutions,Chagai,Balochistan,Pakistan,5/9/2024,[]
Trainee Process Engineer,Avanceon Middle East & South Asia,Lahore,Punjab,Pakistan,4/16/2024,[]
Senior ECAD Engineer,MikroStarTech (SMC-Pvt.) Ltd.,Lahore,Punjab,Pakistan,4/23/2024,[]
Senior VOIP Engineer,Creative Chaos,Lahore,Punjab,Pakistan,12/12/2023,[]
HVAC Project Engineer,Hiring India Recruitment,Hyderabad,Sindh,Pakistan,3/17/2024,[]
Lab Engineer - SCME,National University of Sciences and Technology (NUST),Islamabad,Islāmābād,Pakistan,5/2/2024,[]
NPM Project Engineer - NPM for 2/3G RF RNO L2(Senior),People (Professional Employers Pvt Ltd),Islamabad,Islāmābād,Pakistan,4/17/2024,[]
Proposal Engineer - Solar,I.R.E,Lahore,Punjab,Pakistan,3/13/2024,['autocad']
Business Analyst,TekRevol,Karachi Division,Sindh,Pakistan,5/2/2024,['jira']
Senior Business Analyst,Tekvaly,Karachi Division,Sindh,Pakistan,4/25/2024,[]
Business Analyst (Morning Shift),10Pearls,Karāchi,Sindh,Pakistan,4/23/2024,[]
Junior Business Analyst,I.R.E,Karāchi,Sindh,Pakistan,4/8/2024,[]
Junior Business Analyst,I.R.E,Karāchi,Sindh,Pakistan,4/8/2024,[]
Business Analyst,Codup,Chagai,Balochistan,Pakistan,4/1/2024,[]
Sr. Business Analyst (Core Banking),HugoBank,Karāchi,Sindh,Pakistan,4/9/2024,[]
Senior Business Analyst - Branch Automation,VeriPark,Karāchi,Sindh,Pakistan,4/29/2024,['azure']
Senior Business Analyst,VentureDive,Lahore,Punjab,Pakistan,4/8/2024,[]
Business Analyst,HR Ways - Hiring Tech Talent,Karāchi,Sindh,Pakistan,4/19/2024,[]
Business Analyst Officer,ACE Money Transfer,Lahore,Punjab,Pakistan,4/16/2024,[]
Business Strategy & Operations Analyst,Motive,Lahore,Punjab,Pakistan,4/17/2024,"['jira', 'ai', 'tableau']"
Software Business Analyst,ibex,Karāchi,Sindh,Pakistan,5/8/2024,[]
Business Analyst,HAFIXTA Technology,Gujranwala,Punjab,Pakistan,5/3/2024,['jira']
Business Analyst,CureMD,Lahore,Punjab,Pakistan,3/6/2024,[]
Strategy Analyst (Proactive Pipeline),Jazz,Islamabad,Islāmābād,Pakistan,3/28/2024,[]
Digital Project Manager/ Business Analyst,Virtelligence,Rawalpindi,Punjab,Pakistan,5/9/2024,[]
Lead Business Analyst,HR Ways - Hiring Tech Talent,Karāchi,Sindh,Pakistan,4/16/2024,[]
Senior Business Analyst (Pre-Sales),DPL,Islamabad,Islāmābād,Pakistan,4/17/2024,"['jira', 'sql']"
Trainee Business Planning Analyst,Oak Business Consultant,Islamabad,Islāmābād,Pakistan,5/9/2024,[]
Business Operations Analyst,TCP Software,Lahore,Punjab,Pakistan,3/19/2024,['tableau']
Business Analyst for Software Development,RubyGarage,Lahore,Punjab,Pakistan,5/4/2024,[]
Sr Business Analyst,TCP Software,Lahore,Punjab,Pakistan,5/7/2024,[]
Business Analyst II - Appian,S&P Global,Islamabad,Islāmābād,Pakistan,4/24/2024,['sql']
Business Development Analyst,ibex,Lahore,Punjab,Pakistan,4/19/2024,[]
Business Analyst (Salesforce),Contour Software,Karāchi,Sindh,Pakistan,4/23/2024,['jira']
Senior Product Analyst,Softech Worldwide,Karachi Division,Sindh,Pakistan,4/29/2024,['sql']
Senior Business System Analyst,Virtelligence,Islamabad,Islāmābād,Pakistan,5/2/2024,[]
Senior Business System Analyst,Virtelligence,Islamabad,Islāmābād,Pakistan,5/3/2024,[]
Associate Product Analyst,Softech Worldwide,Karachi Division,Sindh,Pakistan,4/29/2024,['sql']
Senior Business Finance Analyst,Careem,Lahore,Punjab,Pakistan,5/9/2024,[]
Business Analyst II - Salesforce,S&P Global,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Senior Business Analytics (Pro-active Pipeline),Jazz,Islamabad,Islāmābād,Pakistan,11/6/2023,['tableau']
Customer Analyst,Circles,Islamabad,Islāmābād,Pakistan,3/21/2024,"['sql', 'tableau']"
Senior Analyst,Afiniti,Karachi Division,Sindh,Pakistan,5/10/2024,['ai']
"Reporting Analyst, Order to Cash (CI)",S&P Global,Islamabad,Islāmābād,Pakistan,4/24/2024,['tableau']
Industry Forecasting Analyst,S&P Global,Islamabad,Islāmābād,Pakistan,5/10/2024,[]
Business System Analyst - Supply Chain and Operations,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Senior API Support Analyst,ibex. Pakistan,Karāchi,Sindh,Pakistan,4/29/2024,[]
Business Systems Analyst - Sales,Zones IT Solutions,Karāchi,Sindh,Pakistan,4/24/2024,[]
Business System Analyst - Supply Chain and Operations,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Business Systems Analyst - Sales,Zones IT Solutions,Karāchi,Sindh,Pakistan,4/24/2024,[]
Business Intelligence Developer (Tableau Expert),Motive,Karāchi,Sindh,Pakistan,3/5/2024,"['python', 'sql', 'ai', 'tableau']"
Salesforce Team Lead / Administrator,"HR World International (Pvt. Ltd) - Global Tech Recruitment, Payroll HRIS and Executive Headhunters",Islamabad,Islāmābād,Pakistan,4/24/2024,['devops']
Business Systems Analyst - Sales,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Manager Data Science,Telenor,Islamabad,Islāmābād,Pakistan,5/7/2024,"['python', 'sql', 'hadoop', 'tableau']"
Business Systems Analyst - Sales,Zones IT Solutions,Lahore,Punjab,Pakistan,4/24/2024,[]
Application Analyst,Human Resource Solutions International - HRSI,Akora Khattak,Khyber Pakhtunkhwa,Pakistan,4/23/2024,[]
Senior Actuarial Analyst,SHMA Consulting,Karachi Division,Sindh,Pakistan,5/6/2024,[]
Assistant Manager - Supply Chain Finance,LIPTON Teas and Infusions,Karāchi,Sindh,Pakistan,4/23/2024,[]
Senior Bidder,Binary Nest Solutions,Karāchi,Sindh,Pakistan,3/5/2024,[]
Business Systems Analyst – Finance Operations,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Senior Software Support Analyst,Contour Software,Islamabad,Islāmābād,Pakistan,4/22/2024,[]
Digital Marketing Analyst,ACE Money Transfer,Rawalpindi,Punjab,Pakistan,3/29/2024,[]
PMO Analyst,TCP Software,Lahore,Punjab,Pakistan,3/29/2024,['jira']
Senior SEO Analyst,CureMD,Lahore,Punjab,Pakistan,4/29/2024,['html']
"Senior Analyst, DBA",Afiniti,Karachi Division,Sindh,Pakistan,5/10/2024,"['ai', 'mysql', 'postgresql']"
Business Analyst II - Appian,S&P Global,Islamabad,Islāmābād,Pakistan,4/24/2024,['sql']
Business Development Analyst,ibex,Lahore,Punjab,Pakistan,4/19/2024,[]
Business Analyst (Salesforce),Contour Software,Karāchi,Sindh,Pakistan,4/23/2024,['jira']
Senior Product Analyst,Softech Worldwide,Karachi Division,Sindh,Pakistan,4/29/2024,['sql']
Senior Business System Analyst,Virtelligence,Islamabad,Islāmābād,Pakistan,5/2/2024,[]
Senior Business System Analyst,Virtelligence,Islamabad,Islāmābād,Pakistan,5/3/2024,[]
Associate Product Analyst,Softech Worldwide,Karachi Division,Sindh,Pakistan,4/29/2024,['sql']
Senior Business Finance Analyst,Careem,Lahore,Punjab,Pakistan,5/9/2024,[]
Business Analyst II - Salesforce,S&P Global,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Senior Business Analytics (Pro-active Pipeline),Jazz,Islamabad,Islāmābād,Pakistan,11/6/2023,['tableau']
Application Analyst,Human Resource Solutions International - HRSI,Akora Khattak,Khyber Pakhtunkhwa,Pakistan,4/23/2024,[]
Senior Actuarial Analyst,SHMA Consulting,Karachi Division,Sindh,Pakistan,5/6/2024,[]
Assistant Manager - Supply Chain Finance,LIPTON Teas and Infusions,Karāchi,Sindh,Pakistan,4/23/2024,[]
Senior Bidder,Binary Nest Solutions,Karāchi,Sindh,Pakistan,3/5/2024,[]
Business Systems Analyst – Finance Operations,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Senior Software Support Analyst,Contour Software,Islamabad,Islāmābād,Pakistan,4/22/2024,[]
Digital Marketing Analyst,ACE Money Transfer,Rawalpindi,Punjab,Pakistan,3/29/2024,[]
PMO Analyst,TCP Software,Lahore,Punjab,Pakistan,3/29/2024,['jira']
Senior SEO Analyst,CureMD,Lahore,Punjab,Pakistan,4/29/2024,['html']
"Senior Analyst, DBA",Afiniti,Karachi Division,Sindh,Pakistan,5/10/2024,"['ai', 'mysql', 'postgresql']"
Analyst - Insights & Analytics,Zones IT Solutions,,,Pakistan,4/24/2024,[]
BI Developer,BAT,Lahore,Punjab,Pakistan,3/28/2024,['azure']
Data Analyst – Sisense + AWS Redshift - Afternoon Shift,10Pearls,Karāchi,Sindh,Pakistan,4/25/2024,"['sql', 'tableau']"
Analyst - Insights & Analytics,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
"Senior Analyst, Client Data Services",Afiniti,Karachi Division,Sindh,Pakistan,5/11/2024,"['python', 'sql', 'ai']"
TOC Operations Specialist,"dinCloud Pakistan, An ATSG Company",Islamabad,Islāmābād,Pakistan,3/19/2024,[]
Global Cybersecurity Analyst,FINCA Impact Finance,Islamabad,Islāmābād,Pakistan,5/10/2024,"['aws', 'azure']"
"Senior Analyst, Client Data Services",Afiniti,Karachi Division,Sindh,Pakistan,5/9/2024,"['python', 'sql', 'ai']"
Technical Project Manager,AirCod Technologies,Lahore,Punjab,Pakistan,5/10/2024,"['jquery', 'javascript', 'azure']"
Data Analyst - Excel,Inbox Business Technologies,Karāchi,Sindh,Pakistan,5/2/2024,[]
Senior ETL Developer,Pragati Finserv Private Limited,Hyderabad,Sindh,Pakistan,3/17/2024,['sql']
SQA Analyst,Contour Software,Lahore,Punjab,Pakistan,4/22/2024,['sql']
Senior SQA Analyst,Contour Software,Karāchi,Sindh,Pakistan,4/22/2024,"['devops', 'jira']"
Senior Data Analyst,Mindstorm Studios,Lahore,Punjab,Pakistan,2/21/2024,"['python', 'sql']"
SQA Analyst,Contour Software,Islamabad,Punjab,Pakistan,4/22/2024,['sql']
Data Analyst,Kinetic Pakistan,Lahore,Punjab,Pakistan,5/10/2024,"['python', 'sql']"
Senior SQA Analyst,Contour Software,Karāchi,Sindh,Pakistan,4/22/2024,[]
Senior SQA Analyst,Contour Software,Karāchi,Sindh,Pakistan,4/22/2024,"['azure', 'jira', 'sql', 'devops', 'kubernetes']"
Senior Financial Analyst - HQ,Banyan Software,Karāchi,Sindh,Pakistan,5/4/2024,[]
Senior Financial Analyst,Contour Software,Chagai,Balochistan,Pakistan,4/22/2024,[]
Marketing Manager - PC,PepsiCo,Lahore,Punjab,Pakistan,5/8/2024,[]
Social Media Lead,Teach For Pakistan,Islamabad,Islāmābād,Pakistan,5/6/2024,[]
Social Media Ads Manager,NXT LABS,Karāchi,Sindh,Pakistan,4/4/2024,[]
Digital Marketing Manager,Codup,Karāchi,Sindh,Pakistan,4/30/2024,[]
Social Media Administrator,HR Ways - Hiring Tech Talent,Lahore,Punjab,Pakistan,3/27/2024,[]
Social Media Manager,South Punjab Hospital,Multan,Punjab,Pakistan,2/21/2024,[]
Social Media Manager,HR Ways - Hiring Tech Talent,Karāchi,Sindh,Pakistan,3/27/2024,[]
Social Media Strategist,Truelancer.com,Karāchi,Sindh,Pakistan,5/11/2024,[]
Social Media Manager (ISB) (03),People (Professional Employers Pvt Ltd),Islamabad,Islāmābād,Pakistan,4/3/2024,[]
Digital Marketing Executive,AUGUS IT SOLUTIONS,Hyderabad,Sindh,Pakistan,3/17/2024,[]
Social Media/Growth/Outreach/Brand Manager,Meraki IT,Islamabad,Islāmābād,Pakistan,5/9/2024,[]
Social Media Manager,Digital Googlers,Multan,Punjab,Pakistan,5/11/2024,[]
"Marketing Manager, Pakistan",Payoneer,Lahore,Punjab,Pakistan,4/24/2024,[]
Marketing Manager | Remote,Nao Medical,Karachi Division,Sindh,Pakistan,2/1/2024,[]
Social Media Strategist,EdLink Education & Visa Services,Lahore,Punjab,Pakistan,5/10/2024,[]
Marketing Manager - SEO Coordinator,NewRich Network,Islamabad,Islāmābād,Pakistan,4/24/2024,[]
Affiliate Marketing Manager,Talent Disruptors,Islamabad,Islāmābād,Pakistan,3/25/2024,[]
Marketing Manager,HR Capital Consultant,Karachi Division,Sindh,Pakistan,5/6/2024,[]
Trade Marketing Manager,Reckitt,Karāchi,Sindh,Pakistan,3/25/2024,[]
Manager - Marketing Communications,Contour Software,Chagai,Balochistan,Pakistan,4/22/2024,[]
Digital marketing manager,StudyWise,Lahore,Punjab,Pakistan,4/26/2024,[]
Marketing Manager,Avanceon Middle East & South Asia,Lahore,Punjab,Pakistan,4/18/2024,[]
Marketing Manager,Human Resource Solutions International - HRSI,Karāchi,Sindh,Pakistan,5/2/2024,[]
Assistant Manager Marketing & PR,Infection Prevention and Control Foundation,Lahore,Punjab,Pakistan,5/11/2024,[]
Digital Advertising Executive (1 year contract),IDP Education Ltd,Lahore,Punjab,Pakistan,1/16/2024,[]
Females Required For Social Media Marketing Manager,SMD CITY,Faisalabad,Punjab,Pakistan,4/29/2024,[]
Marketing Manager,ACE Money Transfer,,Punjab,Pakistan,1/16/2024,[]
Performance Marketing Executive,StudyWise,Lahore,Punjab,Pakistan,5/3/2024,[]
Social Media Manager Intern,TecJaunt,Lahore District,Punjab,Pakistan,5/7/2024,['ai']
Digital Marketing Manager - Strategy & Planning,Symmetry Group,Karachi Division,Sindh,Pakistan,4/24/2024,[]
Senior Marketing Manager - Careem Rides,Careem,Karāchi,Sindh,Pakistan,4/30/2024,[]
CSR & Marketing Manager,eEducation System,Rawalpindi,Punjab,Pakistan,5/7/2024,[]
Content Marketing Manager,DigitalOcean,Karachi Division,Sindh,Pakistan,1/25/2024,[]
Marketing App Manager,Meidan Technologies (Private) Limited,Lahore,Punjab,Pakistan,1/15/2024,[]
Affiliate Marketing Manager,DigitalOcean,Karachi Division,Sindh,Pakistan,5/3/2024,[]
Performance Marketing Executive,The Migration - Authentic Education & Immigration Consultant for Australia,Lahore,Punjab,Pakistan,5/8/2024,[]
Sales Marketing Manager,Chiyoda Auto Lamp,Lahore Division,Punjab,Pakistan,5/11/2024,[]
Manager Finance-Marketing,Reckitt,Karāchi,Sindh,Pakistan,4/1/2024,[]
People Experience (HR) Country Lead Pakistan,IDP Education Ltd,Lahore,Punjab,Pakistan,2/15/2024,[]
Design Support Executive,Bayut.com,,Sindh,Pakistan,3/13/2024,[]
Content Manager,CadreSpace,Lahore,Punjab,Pakistan,4/24/2024,[]
Content Manager,Quaid Ventures,Lahore,Punjab,Pakistan,5/9/2024,[]
Content Manager,Xcentric Services | Web & App Development Company | Software Development | React App Development,Lahore,Punjab,Pakistan,5/9/2024,[]
IT Service Desk Technician - Contractor (Pakistan),Podium,Lahore,Punjab,Pakistan,3/2/2024,['ai']
Information Technology Technician,National Foods Limited,Faisalabad,Punjab,Pakistan,5/3/2024,[]
IT Support Executive,Level 3 BOS,Chagai,Balochistan,Pakistan,11/23/2023,[]
IT Support Lead -VMWare Experience (C-032475),Cloudelligent,Islamabad,Islāmābād,Pakistan,4/26/2024,"['aws', 'kubernetes']"
IT Support Lead -VMWare Experience (C-032475),Cloudelligent,Lahore,Punjab,Pakistan,4/26/2024,"['aws', 'kubernetes']"
Help Desk Technician,"I.Q. Technologies, Inc",Karāchi,Sindh,Pakistan,4/12/2024,[]
After Hours Support,SIO Logistics,Lahore,Punjab,Pakistan,4/29/2024,[]
ITBP SAP Technical,Shan Foods Private Limited,Karāchi,Sindh,Pakistan,4/18/2024,[]
Oracle eBiz Functional & Technical,NorthBay Solutions,Karachi Division,Sindh,Pakistan,3/20/2024,['sql']
Oracle eBiz Functional & Technical,NorthBay Solutions,Islamabad,Punjab,Pakistan,3/20/2024,['sql']
Microsoft Dynamics Technical Lead,Dynamics Technology Systems,Karāchi,Sindh,Pakistan,4/29/2024,[]
Licensing Support Specialist,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,5/9/2024,[]
Senior Cloud Technical Specialist,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,4/24/2024,"['azure', 'sql', 'jira']"
Program Delivery Specialist,Legal Aid Society - Pakistan,Karāchi,Sindh,Pakistan,4/29/2024,[]
Senior Cloud Technical Specialist,Zones IT Solutions,Lahore,Punjab,Pakistan,4/24/2024,"['azure', 'sql', 'jira']"
Licensing Support Specialist,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,3/20/2024,[]
Senior DevOps Specialist,Shape Solutions (Pvt.) Ltd.,Islamabad,Islāmābād,Pakistan,8/28/2023,"['python', 'aws', 'azure', 'jira', 'docker', 'devops']"
Amazon FBA Operations Department Manager for an E-commerce Company PK,Premier Media,Islamabad,Islāmābād,Pakistan,4/8/2024,[]
Manager Supply Chain,Leverify,Islamabad,Islāmābād,Pakistan,5/2/2024,[]
Operations Manager,M&P Express Logistics,Hyderabad District,Sindh,Pakistan,5/8/2024,[]
Assistant Manager Warehouse,EBM,Karāchi,Sindh,Pakistan,4/15/2024,[]
Healthcare Operations Manager,Octdaily,Karāchi,Sindh,Pakistan,5/8/2024,[]
Operations Manager,Infina Health,,Sindh,Pakistan,4/12/2024,[]
Warehouse Manager,Steps Ahead Private Limited,Lahore,Punjab,Pakistan,4/16/2024,[]
Operations Manager (BPO Industry),AI | Machine Learning | Data Annotation,Johar Town,Punjab,Pakistan,1/29/2024,[]
Logistics Manager (Warehouse Manager),I.R.E,Sargodha,Punjab,Pakistan,3/27/2024,[]
Senior Logistics Manager,I.R.E,Sargodha,Punjab,Pakistan,3/27/2024,[]
Operations Manager,One Behavioral,Lahore,Punjab,Pakistan,12/15/2023,[]
Zonal Operations Manager,The Citizens Foundation,Lahore,Punjab,Pakistan,5/6/2024,[]
Team Leader,BAT,Jhelum,Punjab,Pakistan,3/8/2024,[]
Operations Manager (BPO Industry),HR Force Int.,Johar Town,Punjab,Pakistan,4/9/2024,[]
Sr. Supply Chain Manager,I.R.E,Sialkot,Punjab,Pakistan,5/6/2024,[]
Brand and Operations Manager,KLIM Technologies,Sialkot,Punjab,Pakistan,3/15/2024,[]
Junior Manager Operations - Peshawar,Steps Ahead Private Limited,Peshawar,Khyber Pakhtunkhwa,Pakistan,4/22/2024,[]
Store Operations Manager,Taraki,Lahore,Punjab,Pakistan,4/24/2024,[]
Manager Financial Operations,DWP Group,Lahore,Punjab,Pakistan,4/23/2024,[]
Senior General Manager (Lower Sindh),Sui Southern Gas Company Limited,Karachi Division,Sindh,Pakistan,1/8/2024,[]
Network Operations Manager,GovCIO,Islamabad,Islāmābād,Pakistan,4/5/2024,['transformers']
Team Leader Trade Operations - Export Payments (MGN Pakistan),Mashreq,Islamabad,Islāmābād,Pakistan,4/30/2024,[]
Sr. Operations Manager - (H-354),People (Professional Employers Pvt Ltd),Lahore,Punjab,Pakistan,3/22/2024,[]
Supply Chain Assistant Manager PA,Premier Media,Lahore,Punjab,Pakistan,5/9/2024,[]
Amazon Inventory/Supply Chain Manager (Medium Level),Full Circle,Lahore,Punjab,Pakistan,4/8/2024,[]
ASOM CD IC,Unilever,Karāchi,Sindh,Pakistan,5/11/2024,[]
Operations Manager - Energy Production,SPERTON - Where Great People Meet,Karāchi,Sindh,Pakistan,3/5/2024,['sql']
Branch Manager,JS Bank,Karāchi,Sindh,Pakistan,4/30/2024,[]
Senior General Manager (Upper Sindh),Sui Southern Gas Company Limited,Karachi Division,Sindh,Pakistan,1/8/2024,[]
"Manager, Migrations (Platform Operations)",DigitalOcean,Karachi Division,Sindh,Pakistan,4/15/2024,['mysql']
Assistant Manager Supply Chain (Materials Planning),Human Resource Solutions International - HRSI,Karāchi,Sindh,Pakistan,3/11/2024,[]
Front Office Manager / Team Lead (FTTH and NOC),WorldCall Telecom Limited,Lahore,Punjab,Pakistan,5/10/2024,[]
Front Office Manager / Team Lead (FTTH and NOC),WorldCall Telecom Limited,Lahore,Punjab,Pakistan,5/10/2024,[]
Office Manager (Remote),XAD Technologies LLC,Lahore,Punjab,Pakistan,4/16/2024,[]
Associate Manager Product Development,Brookes Pharma (Private) Limited,Karachi Division,Sindh,Pakistan,5/10/2024,[]
Assistant Manager - Supply Chain Finance,LIPTON Teas and Infusions,Karāchi,Sindh,Pakistan,4/23/2024,[]
巴基斯坦门店运营主管 Pakistan Store Operations Supervisor(A7623),Xiaomi Technology,Lahore,Punjab,Pakistan,4/18/2024,[]
Sales Operations Executive,Jazz,Peshawar,Khyber Pakhtunkhwa,Pakistan,4/29/2024,[]
Assistant Compliance Manager - Sanctions (MGN Pakistan),Mashreq,Peshawar,Khyber Pakhtunkhwa,Pakistan,5/8/2024,[]
Finance Advisor Mobility Pakistan,Shell,Karāchi,Sindh,Pakistan,4/25/2024,[]
Business Operations Analyst,TCP Software,Lahore,Punjab,Pakistan,3/19/2024,['tableau']
Client Success Manager - 2,Zones IT Solutions,Islamabad,Islāmābād,Pakistan,3/8/2024,[]
Study Start Up Specialist,DM Clinical Research,Karāchi,Sindh,Pakistan,2/28/2024,[]
Restaurant Manager,Byte (YC S20),Lahore,Punjab,Pakistan,2/23/2024,[]
Assistant Manager Controlling,DHL Global Forwarding,Karāchi,Sindh,Pakistan,4/16/2024,[]
Team Lead- IT Operations,Inbox Business Technologies,Karāchi,Sindh,Pakistan,3/17/2024,[]
Assistant Manager CNC,K-Electric,Karāchi,Sindh,Pakistan,5/10/2024,[]
Deputy Manager,ACCA Careers,Karāchi,Sindh,Pakistan,4/19/2024,[]
Business Development Manager (Upwork),Tresmind Solutions,Karachi Division,Sindh,Pakistan,5/10/2024,[]
SOC Manager,Inbox Business Technologies,Islamabad,Islāmābād,Pakistan,5/9/2024,[]
Customer Success Senior Specialist,GfK - An NIQ Company,Karachi Division,Sindh,Pakistan,3/13/2024,[]
Business Development Officer,IDP Education Ltd,Islamabad,Islāmābād,Pakistan,2/23/2024,[]
"Senior Manager Proposals, Contracts and Pricing Operations",Zones IT Solutions,Islamabad,Islāmābād,Pakistan,5/10/2024,[]
Sr. Officer Community Engagement,Human Resource Solutions International - HRSI,Quetta,Balochistan,Pakistan,4/10/2024,[]
Internal Auditor,ACE Money Transfer,Kharian,Punjab,Pakistan,1/13/2024,[]
Business Development Officer,IDP Education Ltd,Karāchi,Sindh,Pakistan,2/15/2024,[]
Corporate Lawyer,NorthBay Solutions,Islamabad,Islāmābād,Pakistan,5/2/2024,[]
Company Secretary & Legal Counsel,HugoBank,Karāchi,Sindh,Pakistan,4/2/2024,[]
Corporate Lawyer,NorthBay Solutions,Lahore,Punjab,Pakistan,5/2/2024,[]
Prosecutors,Sui Southern Gas Company Limited,Karachi Division,Sindh,Pakistan,2/12/2024,[]
Senior Legal Counsel,CEQUENS,Islamabad,Islāmābād,Pakistan,3/25/2024,[]
Senior Manager / Manager Pharmacy,Mukhtar A. Sheikh Hospital,Multan,Punjab,Pakistan,4/29/2024,[]
Research Assistant Department of Pharmacy Practice,"Government  College University, Faisalabad",Faisalabad,Punjab,Pakistan,6/27/2023,[]
Production Pharmacist,Air Pharmaceuticals,Kasur District,Punjab,Pakistan,5/7/2024,[]
Quality Compliance Manager,Reckitt,Karāchi,Sindh,Pakistan,3/4/2024,[]
Assistant Professor,MY University,Islamabad,Islāmābād,Pakistan,2/1/2024,[]
Assistant Professor,MY University,Islamabad,Islāmābād,Pakistan,2/1/2024,[]
Curriculum Development Specialist – Math & Science MTB MLE (Contractual),The Citizens Foundation,Karāchi,Sindh,Pakistan,5/6/2024,[]
Assistant Manager Training - English,The Citizens Foundation,Karāchi,Sindh,Pakistan,6/23/2023,[]
Professor,MY University,Islamabad,Islāmābād,Pakistan,2/1/2024,[]
Academic Program Coordinator and Lecturer,TMUC Pakistan,Rawalpindi,Punjab,Pakistan,4/17/2024,[]
Hifz Teacher (Female),Al Huda,Islamabad,Islāmābād,Pakistan,4/1/2024,[]
Community Education Instructor,Cambridge-Isanti Schools,Education Town,Punjab,Pakistan,4/6/2024,[]
Professor - SMME,National University of Sciences and Technology (NUST),Islamabad,Islāmābād,Pakistan,5/8/2024,[]
Assistant Professor,"Department of Aeronautics & Astronautics, Institute of Space Technology, Islamabad",Islamabad,Islāmābād,Pakistan,4/20/2024,[]
Assistant Professor - SMME,National University of Sciences and Technology (NUST),Islamabad,Islāmābād,Pakistan,5/8/2024,[]
Lecturer Fine Arts (Painting) BPS-18 (01 Post),"Government  College University, Faisalabad",Faisalabad,Punjab,Pakistan,5/23/2023,[]
Associate Professor,MY University,Islamabad,Islāmābād,Pakistan,2/1/2024,[]
Assistant Professor - SMME,National University of Sciences and Technology (NUST),Islamabad,Islāmābād,Pakistan,5/8/2024,[]
Position Vacent Lecturer Applied Chemistry,"Government  College University, Faisalabad",Faisalabad,Punjab,Pakistan,5/23/2023,[]
English Language Instructor,Unify Education Consultant,Gujranwala,Punjab,Pakistan,5/1/2024,[]
"Assistant/Associate Professor and Director Bachelor of Education, Institute for Educational Development, Pakistan (IED,P)",Aga Khan University,Karāchi,Sindh,Pakistan,5/2/2024,[]
Associate Professor-SMME,National University of Sciences and Technology (NUST),Islamabad,Islāmābād,Pakistan,5/8/2024,[]
"Admission, Visa Processor & IELTS Teacher",Edify Group Of Companies,Peshawar,Khyber Pakhtunkhwa,Pakistan,5/8/2024,[]
Mathematics Teacher,University of Engineering & Technology Peshawar,Peshawar,Khyber Pakhtunkhwa,Pakistan,5/7/2024,[]
Area Education Manager - Burewala,The Citizens Foundation,Burewala,Punjab,Pakistan,4/19/2024,[]
"Assistant Registrar Records, Office of the Registrar",Aga Khan University,Karāchi,Sindh,Pakistan,4/26/2024,[]
Assistant Professor of Computer Science,Ibadat International University- IIUI,Islamabad,Islāmābād,Pakistan,5/8/2024,['ai']
shopify,Naltar Marketing Solution,Lahore,Punjab,Pakistan,4/29/2024,[]
IELTS Instructor,M.R.Consultants,Bahawalpur,Punjab,Pakistan,5/1/2024,[]
IELTS Instructor,CSC PAKISTAN,Rawalpindi,Punjab,Pakistan,5/6/2024,[]
IELTS Instructor,British Training System,Faisalabad,Punjab,Pakistan,5/1/2024,[]
Music Teacher with School Experience,HR SuperNovaSchool,Islamabad,Islāmābād,Pakistan,5/7/2024,[]
